N, ROB size, RS size, Cache Size, Memory Latency, Branch Type, Unrolls, Optimization Lvl, Cycles, Instructions, Branch hit, Icache hit, Dcache hit, ROB hzrds, RS hzrds, LSQ hzrds
1, 12, 6, 16, 1000, 3, 2, 8, 49230, 1285, 0.015625, 0.905300, 0.000000, 47233, 0, 0
1, 12, 6, 16, 1000, 3, 3, 8, 49065, 1113, 0.023529, 0.875298, 0.000000, 47224, 0, 0
1, 12, 6, 16, 1000, 3, 4, 8, 48977, 1031, 0.031250, 0.871685, 0.000000, 41356, 0, 5871
1, 12, 6, 64, 100, 1, 1, 8, 9506, 1796, 0.007812, 0.968600, 0.000000, 7641, 0, 0
1, 12, 6, 64, 100, 1, 2, 8, 8995, 1285, 0.015625, 0.934814, 0.000000, 7611, 0, 0
1, 12, 6, 64, 100, 1, 3, 8, 8825, 1113, 0.023529, 0.939320, 0.000000, 7604, 0, 0
1, 12, 6, 64, 100, 1, 4, 8, 8741, 1031, 0.031250, 0.908537, 0.000000, 6724, 0, 880
1, 12, 6, 64, 100, 2, 1, 8, 9506, 1796, 0.007812, 0.968600, 0.000000, 7641, 0, 0
1, 12, 6, 64, 100, 2, 2, 8, 8995, 1285, 0.015625, 0.934814, 0.000000, 7611, 0, 0
1, 12, 6, 64, 100, 2, 3, 8, 8825, 1113, 0.023529, 0.939320, 0.000000, 7604, 0, 0
1, 12, 6, 64, 100, 2, 4, 8, 8741, 1031, 0.031250, 0.908537, 0.000000, 6724, 0, 880
1, 12, 6, 64, 100, 3, 1, 8, 9506, 1796, 0.007812, 0.968600, 0.000000, 7641, 0, 0
1, 12, 6, 64, 100, 3, 2, 8, 8995, 1285, 0.015625, 0.934814, 0.000000, 7611, 0, 0
1, 12, 6, 64, 100, 3, 3, 8, 8825, 1113, 0.023529, 0.939320, 0.000000, 7604, 0, 0
1, 12, 6, 64, 100, 3, 4, 8, 8741, 1031, 0.031250, 0.908537, 0.000000, 6724, 0, 880
1, 12, 6, 64, 1000, 1, 1, 8, 49589, 1796, 0.007812, 0.962454, 0.000000, 47421, 0, 0
1, 12, 6, 64, 1000, 1, 2, 8, 49135, 1285, 0.015625, 0.922261, 0.000000, 47235, 0, 0
1, 12, 6, 64, 1000, 1, 3, 8, 49010, 1113, 0.023529, 0.905239, 0.000000, 47228, 0, 0
1, 12, 6, 64, 1000, 1, 4, 8, 48889, 1031, 0.031250, 0.892216, 0.000000, 41356, 0, 5872
